project_id,project_url,description,latest_commit_date,medium_term_commit_count,medium_term_distinct_author_count,medium_term_distinct_committer_count,recent_commit_count,recent_distinct_author_count,recent_distinct_committer_count,latest_pull_request_history_date,medium_term_pull_request_count,recent_pull_request_count,project_language,project_language_details_language,project_language_bytes,language_percentage,project_language_created_at,forked_from,pull_request_id,pullreq_id,intra_branch,user_id,comment_id,position,body,commit_id,created_at
10505039,https://api.github.com/repos/OpenClinica/OpenClinica,OpenClinica is the world's first commercial open source clinical trial software for Electronic Data Capture (EDC) Clinical Data Management (CDM).,2018-03-30 18:20:50 UTC,2694,30,25,376,14,11,2018-03-30 18:20:51 UTC,906,133,Java,java,17519193,88.856361386541607,2016-03-01 12:29:15 UTC,,4723215,56,false,1034239,18054141,19,Remove underscores,157932086,2014-09-25 17:29:41 UTC
10505039,https://api.github.com/repos/OpenClinica/OpenClinica,OpenClinica is the world's first commercial open source clinical trial software for Electronic Data Capture (EDC) Clinical Data Management (CDM).,2018-03-30 18:20:50 UTC,2694,30,25,376,14,11,2018-03-30 18:20:51 UTC,906,133,Java,java,17519193,88.856361386541607,2016-03-01 12:29:15 UTC,,21002082,738,false,4386270,104763417,1,"line 163 has the words ""Study Event"" hardcoded as well.  This should use the property file.",611198266,2017-03-07 19:56:20 UTC
30940386,https://api.github.com/repos/eclipse/rdf4j,RDF4J Project,2018-03-29 17:36:48 UTC,1098,26,24,45,5,6,2018-03-29 17:36:00 UTC,313,21,Java,java,8941754,96.923972097441734,2016-02-15 00:15:07 UTC,,21327610,758,false,20394,106820873,551,Use try-with-resources for this GraphQueryResult,630425039,2017-03-19 22:27:29 UTC
30940386,https://api.github.com/repos/eclipse/rdf4j,RDF4J Project,2018-03-29 17:36:48 UTC,1098,26,24,45,5,6,2018-03-29 17:36:00 UTC,313,21,Java,java,8941754,96.923972097441734,2016-02-15 00:15:07 UTC,,18242744,631,true,20394,85229672,47,"I am not familiar enough with the semantics of isHeldByCurrentThread to know whether this will work. Ie, will it return false if a lock is held but by another thread? Obtaining an exclusive lock implies to me that there should be no lock held.",542598271,2016-10-26 21:59:07 UTC
30940386,https://api.github.com/repos/eclipse/rdf4j,RDF4J Project,2018-03-29 17:36:48 UTC,1098,26,24,45,5,6,2018-03-29 17:36:00 UTC,313,21,Java,java,8941754,96.923972097441734,2016-02-15 00:15:07 UTC,,17059653,571,false,648104,78863056,342,This should probably be private or at least protected,512635283,2016-09-14 23:24:45 UTC
30940386,https://api.github.com/repos/eclipse/rdf4j,RDF4J Project,2018-03-29 17:36:48 UTC,1098,26,24,45,5,6,2018-03-29 17:36:00 UTC,313,21,Java,java,8941754,96.923972097441734,2016-02-15 00:15:07 UTC,,17445585,584,false,7714043,89170725,31,Convenience constructor for common use case.,555522662,2016-11-22 17:42:03 UTC
30940386,https://api.github.com/repos/eclipse/rdf4j,RDF4J Project,2018-03-29 17:36:48 UTC,1098,26,24,45,5,6,2018-03-29 17:36:00 UTC,313,21,Java,java,8941754,96.923972097441734,2016-02-15 00:15:07 UTC,,19125291,666,false,648104,89428839,2,wrong copyright header.,562550988,2016-11-24 02:49:02 UTC
30940386,https://api.github.com/repos/eclipse/rdf4j,RDF4J Project,2018-03-29 17:36:48 UTC,1098,26,24,45,5,6,2018-03-29 17:36:00 UTC,313,21,Java,java,8941754,96.923972097441734,2016-02-15 00:15:07 UTC,,18615733,642,false,20394,95276924,173,"This should call ```this(data, schema, DEFAULT_USE_RDFS_RULES)```, with a new constant, rather than relying on the initialiser to set it to true, given the constructors set it up in most cases.",593645145,2017-01-10 00:15:32 UTC
30940386,https://api.github.com/repos/eclipse/rdf4j,RDF4J Project,2018-03-29 17:36:48 UTC,1098,26,24,45,5,6,2018-03-29 17:36:00 UTC,313,21,Java,java,8941754,96.923972097441734,2016-02-15 00:15:07 UTC,,18242744,631,true,648104,85235292,43,I synchronized this to bring it in line with the same method in NativeSailStore. You're right though that we should probably look at the calling public methods. I'll have a closer look and adapt where necessary. ,542598271,2016-10-26 22:35:27 UTC
30940386,https://api.github.com/repos/eclipse/rdf4j,RDF4J Project,2018-03-29 17:36:48 UTC,1098,26,24,45,5,6,2018-03-29 17:36:00 UTC,313,21,Java,java,8941754,96.923972097441734,2016-02-15 00:15:07 UTC,,19414748,687,false,20394,91011251,79,"The dependentClient stuff can't be helped though, that is how we know if we should be closing it ourselves or leaving it open when it goes out of scope.",570282623,2016-12-06 04:43:32 UTC
